iter	Passed	Remaining
0	108	107986
1	110	55327
2	114	38088
3	120	29946
4	122	24344
5	124	20635
6	126	17982
7	131	16306
8	133	14699
9	135	13423
10	137	12369
11	139	11502
12	141	10764
13	149	10495
14	150	9910
15	153	9431
16	155	8974
17	157	8574
18	159	8253
19	162	7982
20	164	7686
21	166	7416
22	170	7234
23	172	7008
24	176	6874
25	178	6682
26	179	6482
27	181	6295
28	182	6115
29	183	5937
30	184	5764
31	185	5607
32	186	5461
33	187	5321
34	191	5279
35	192	5154
36	193	5036
37	194	4925
38	195	4816
39	196	4714
40	197	4615
41	198	4520
42	199	4431
43	202	4410
44	204	4348
45	206	4275
46	206	4196
47	207	4120
48	208	4047
49	209	3976
50	210	3907
51	210	3841
52	211	3778
53	212	3718
54	212	3659
55	213	3601
56	214	3546
57	215	3492
58	215	3440
59	216	3390
60	217	3342
61	218	3298
62	220	3279
63	221	3234
64	221	3192
65	222	3151
66	223	3109
67	223	3068
68	224	3028
69	225	2990
70	225	2952
71	226	2915
72	226	2880
73	227	2845
74	228	2813
75	228	2783
76	229	2752
77	230	2721
78	230	2691
79	231	2662
80	232	2632
81	232	2603
82	232	2571
83	233	2543
84	233	2516
85	234	2490
86	235	2466
87	235	2442
88	236	2417
89	237	2399
90	237	2375
91	238	2351
92	238	2328
93	239	2306
94	239	2283
95	240	2262
96	240	2240
97	241	2218
98	241	2197
99	241	2176
100	242	2156
101	242	2137
102	243	2117
103	243	2098
104	243	2079
105	244	2060
106	244	2042
107	245	2024
108	245	2007
109	245	1990
110	246	1973
111	246	1956
112	247	1940
113	247	1923
114	247	1908
115	250	1907
116	250	1891
117	251	1876
118	251	1861
119	251	1847
120	252	1832
121	252	1817
122	253	1805
123	253	1792
124	254	1778
125	254	1765
126	254	1751
127	255	1739
128	255	1727
129	256	1714
130	256	1702
131	257	1692
132	257	1680
133	258	1669
134	258	1657
135	259	1646
136	259	1634
137	260	1624
138	260	1613
139	260	1602
140	261	1592
141	261	1581
142	262	1570
143	262	1560
144	262	1550
145	263	1540
146	263	1531
147	264	1522
148	265	1516
149	266	1507
150	266	1498
151	266	1489
152	267	1480
153	267	1470
154	268	1461
155	268	1452
156	268	1443
157	269	1435
158	269	1427
159	270	1418
160	270	1409
161	270	1400
162	271	1392
163	271	1384
164	272	1376
165	272	1368
166	272	1361
167	273	1353
168	273	1346
169	274	1338
170	274	1330
171	274	1323
172	275	1316
173	275	1309
174	276	1301
175	276	1294
176	276	1287
177	277	1280
178	277	1273
179	278	1268
180	279	1264
181	279	1258
182	280	1251
183	280	1245
184	281	1239
185	281	1232
186	282	1226
187	282	1220
188	283	1214
189	283	1208
190	283	1202
191	284	1197
192	285	1192
193	285	1187
194	286	1181
195	286	1175
196	287	1170
197	287	1164
198	287	1158
199	288	1152
200	288	1147
201	289	1142
202	289	1136
203	289	1131
204	290	1126
205	290	1120
206	291	1115
207	291	1110
208	291	1104
209	292	1099
210	292	1095
211	293	1091
212	294	1087
213	294	1083
214	295	1078
215	295	1073
216	296	1068
217	296	1063
218	297	1059
219	297	1054
220	297	1049
221	298	1045
222	298	1041
223	299	1036
224	299	1032
225	300	1027
226	300	1023
227	300	1018
228	301	1014
229	301	1009
230	302	1005
231	302	1001
232	302	996
233	303	992
234	303	988
235	303	984
236	304	979
237	304	975
238	305	971
239	305	967
240	305	963
241	306	958
242	306	955
243	307	951
244	311	958
245	311	955
246	312	951
247	312	947
248	312	943
249	313	939
250	313	935
251	314	932
252	314	928
253	314	924
254	315	920
255	315	917
256	315	913
257	316	910
258	316	906
259	317	902
260	317	899
261	318	896
262	318	893
263	319	889
264	319	886
265	319	882
266	320	879
267	320	875
268	320	872
269	321	869
270	321	865
271	322	862
272	322	859
273	323	856
274	324	855
275	325	853
276	326	852
277	327	850
278	327	847
279	328	843
280	328	840
281	328	837
282	329	834
283	329	831
284	330	827
285	330	824
286	330	821
287	331	818
288	331	815
289	332	812
290	332	809
291	332	806
292	333	804
293	333	801
294	334	799
295	334	796
296	335	793
297	335	790
298	335	787
299	336	784
300	336	782
301	337	779
302	337	776
303	337	773
304	338	771
305	338	768
306	339	765
307	339	763
308	340	760
309	340	757
310	340	755
311	341	752
312	341	750
313	342	747
314	342	745
315	343	743
316	343	740
317	344	737
318	344	735
319	344	733
320	345	730
321	345	727
322	346	725
323	346	722
324	346	720
325	347	717
326	347	715
327	348	713
328	348	710
329	349	708
330	349	706
331	349	704
332	350	701
333	350	699
334	351	697
335	351	695
336	352	692
337	352	690
338	353	689
339	354	688
340	354	685
341	355	683
342	355	681
343	356	679
344	356	676
345	356	674
346	357	672
347	357	670
348	358	668
349	358	666
350	359	664
351	359	661
352	360	659
353	360	657
354	360	655
355	361	653
356	361	651
357	362	649
358	362	647
359	362	644
360	363	642
361	363	640
362	363	638
363	364	636
364	364	634
365	365	632
366	365	630
367	365	628
368	366	626
369	366	624
370	367	622
371	367	620
372	369	621
373	370	619
374	370	617
375	370	615
376	371	613
377	371	611
378	372	609
379	372	607
380	372	605
381	373	603
382	373	601
383	373	599
384	374	597
385	374	595
386	375	593
387	375	592
388	375	590
389	376	588
390	376	586
391	376	584
392	377	582
393	377	580
394	378	579
395	378	577
396	378	575
397	379	573
398	379	571
399	380	570
400	380	568
401	380	566
402	381	564
403	381	562
404	381	561
405	382	559
406	383	558
407	384	557
408	384	555
409	384	553
410	385	552
411	385	550
412	386	548
413	386	547
414	386	545
415	387	543
416	387	542
417	388	540
418	388	538
419	388	537
420	389	535
421	389	533
422	390	532
423	390	530
424	390	528
425	391	527
426	391	525
427	392	523
428	392	522
429	392	520
430	393	519
431	393	517
432	393	515
433	394	514
434	394	512
435	395	511
436	395	509
437	395	508
438	396	506
439	396	504
440	397	503
441	397	501
442	397	500
443	398	498
444	398	497
445	399	495
446	399	494
447	400	493
448	400	492
449	401	490
450	401	489
451	402	487
452	402	486
453	402	484
454	403	483
455	403	481
456	404	480
457	404	478
458	404	477
459	405	476
460	405	474
461	406	473
462	406	471
463	407	470
464	407	468
465	407	467
466	408	466
467	409	465
468	409	463
469	410	462
470	410	461
471	410	459
472	411	458
473	411	456
474	412	456
475	413	455
476	414	454
477	414	452
478	415	451
479	415	450
480	416	448
481	416	447
482	416	446
483	417	444
484	417	443
485	418	442
486	418	440
487	418	439
488	419	438
489	419	437
490	420	435
491	420	434
492	421	433
493	421	431
494	421	430
495	422	429
496	422	427
497	423	426
498	423	425
499	423	423
500	424	422
501	424	421
502	424	419
503	425	418
504	425	417
505	426	416
506	426	414
507	426	413
508	427	412
509	427	411
510	428	410
511	428	408
512	429	407
513	429	406
514	430	405
515	431	404
516	431	403
517	432	402
518	432	400
519	432	399
520	433	398
521	433	397
522	433	395
523	434	394
524	434	393
525	435	392
526	435	390
527	435	389
528	436	388
529	436	387
530	437	386
531	437	384
532	437	383
533	438	382
534	438	381
535	438	379
536	439	378
537	439	377
538	440	376
539	440	375
540	440	373
541	441	372
542	441	371
543	442	370
544	442	369
545	443	368
546	444	367
547	444	366
548	444	365
549	445	364
550	445	363
551	446	362
552	446	360
553	446	359
554	447	358
555	447	357
556	448	356
557	448	355
558	448	354
559	449	352
560	449	351
561	450	350
562	450	349
563	450	348
564	451	347
565	451	346
566	452	345
567	452	344
568	452	343
569	453	341
570	453	340
571	454	339
572	454	338
573	454	337
574	455	336
575	455	335
576	455	334
577	456	333
578	456	332
579	457	331
580	457	330
581	458	328
582	458	327
583	459	326
584	459	326
585	460	325
586	460	324
587	460	322
588	461	321
589	461	320
590	462	319
591	462	318
592	462	317
593	463	316
594	463	315
595	463	314
596	464	313
597	464	312
598	465	311
599	465	310
600	465	309
601	466	308
602	466	307
603	466	306
604	467	305
605	467	304
606	468	303
607	468	302
608	468	301
609	469	299
610	469	298
611	469	297
612	470	296
613	470	295
614	471	294
615	471	293
616	472	293
617	472	292
